country,year,tradeusd,weightkg,tradeinbillions,weightinmegatonnes
United Kingdom,2004,951484451626,45873081534,951,45873
United Kingdom,2005,1025281737953,47418361934,1025,47418
United Kingdom,2006,1194452253434,46554065467,1194,46554
United Kingdom,2007,1277211412997,48389100127,1277,48389
United Kingdom,2008,1346918729201,47542306770,1347,47542
United Kingdom,2009,1112694276200,39627601367,1113,39628
United Kingdom,2010,1207707123372,43022558908,1208,43023
United Kingdom,2011,1433692365591,40874500900,1434,40875
United Kingdom,2012,1367064971258,38581257878,1367,38581
United Kingdom,2013,1340458796526,45295902714,1340,45296
United Kingdom,2014,1351061632505,45829513112,1351,45830
United Kingdom,2015,1217648409639,45790523053,1218,45791
Canada,2004,1035711122422,498624459491,1036,498624
Canada,2005,1183289098477,601174387875,1183,601174
Canada,2006,1293067903085,586414249370,1293,586414
Canada,2007,1406236070925,549050436352,1406,549050
Canada,2008,1521826201541,689741067634,1522,689741
Canada,2009,1117100450489,500105043217,1117,500105
Canada,2010,1371069273447,622265410808,1371,622265
Canada,2011,1593012736819,650031276432,1593,650031
Canada,2012,1572692177486,451468305286,1573,451468
Canada,2013,1582047468027,502651052797,1582,502651
Canada,2014,1667613724676,596810910808,1668,596811
Canada,2015,1472419676044,527283515108,1472,527284
Belgium,2004,1104727573695,469104916827,1105,469105
Belgium,2005,1222885038684,507973853649,1223,507974
Belgium,2006,1348195609665,544687866183,1348,544688
Belgium,2007,1579847976278,535999583253,1580,536e3
Belgium,2008,1756007030604,587672976056,1756,587673
Belgium,2009,1361049710434,428405172593,1361,428405
Belgium,2010,1502595529446,475677162245,1503,475677
Belgium,2011,1772458774707,517169314224,1772,517169
Belgium,2012,1667935970635,485180953160,1668,485181
Belgium,2013,1891446967703,545392779546,1891,545393
Belgium,2014,1748187690589,491126972696,1748,491127
Belgium,2015,1450039919841,475268628566,1450,475269
"China, Hong Kong SAR",2004,1041263757918,166603020723,1041,166603
"China, Hong Kong SAR",2005,1125802179896,87386751302,1126,87387
"China, Hong Kong SAR",2006,1240483078778,85575878480,1240,85576
"China, Hong Kong SAR",2007,1357463287479,111617201228,1357,111617
"China, Hong Kong SAR",2008,1452477753320,730129083669,1452,730129
"China, Hong Kong SAR",2009,1286500106072,143941747175,1287,143942
"China, Hong Kong SAR",2010,1572930474407,760178643445,1573,760179
"China, Hong Kong SAR",2011,1853112811841,82903277583,1853,82903
"China, Hong Kong SAR",2012,2023259907616,65550370389,2023,65550
"China, Hong Kong SAR",2013,2284106194416,704070535740,2284,704071
"China, Hong Kong SAR",2014,2159097617962,181150735291,2159,181151
"China, Hong Kong SAR",2015,2033287794834,847535476859,2033,847535
France,2004,1197155995731,376868064454,1197,376868
France,2005,1298149066435,404486985498,1298,404487
France,2006,1451054495788,420240625864,1451,420241
France,2007,1654522649405,420793653390,1655,420794
France,2008,1888636905434,450379821858,1889,450380
France,2009,1483135189073,341838958161,1483,341839
France,2010,1647252003452,357635050911,1647,357635
France,2011,1941546930513,386964220822,1942,386964
France,2012,1852381536953,359519977227,1852,359520
France,2013,1886161439529,360331054486,1886,360331
France,2014,1848817261051,347924791233,1849,347925
France,2015,1580470085128,350251602647,1580,350252
Japan,2004,1287236261010,745439011273,1287,745439
Japan,2005,1427314190029,751808858375,1427,751809
Japan,2006,1596141003646,753972169669,1596,753972
Japan,2007,1748992914140,770973513633,1749,770974
Japan,2008,2091708745806,778405788176,2092,778406
Japan,2009,1517985408130,656942216969,1518,656942
Japan,2010,1949095164327,729473007575,1949,729473
Japan,2011,2280011589807,736368759601,2280,736369
Japan,2012,2297717896661,745361672767,2298,745362
Japan,2013,2118516770326,756409861755,2119,756410
Japan,2014,2044511576698,743847187386,2045,743847
Japan,2015,1636252115718,633528497861,1636,633528
Germany,2004,2206844465e3,533818613507,2207,533819
Germany,2005,2345314288e3,552351197295,2345,552351
Germany,2006,2762213913e3,568034733820,2762,568035
Germany,2007,3269576075e3,545755931373,3270,545756
Germany,2008,3707614472e3,552775162188,3708,552775
Germany,2009,2906743905e3,504661523714,2907,504662
Germany,2010,3257178205207,543084541413,3257,543085
Germany,2011,3782541364649,562555032770,3783,562555
Germany,2012,3554092083789,546446566770,3554,546447
Germany,2013,3649346124734,567977011421,3649,567977
Germany,2014,3729934619559,584414062286,3730,584414
Germany,2015,3261980771342,618923210947,3262,618923
USA,2004,2669207269882,191431618301,2669,191432
USA,2005,2995673193561,196064792577,2996,196065
USA,2006,3363363668732,203412260056,3363,203412
USA,2007,3639915795151,215777708316,3640,215778
USA,2008,3953130113653,220906962456,3953,220907
USA,2009,3096397500695,177800863461,3096,177801
USA,2010,3752235228486,205793392044,3752,205793
USA,2011,4317009005988,211994869732,4317,211995
USA,2012,4496013014361,190388297912,4496,190388
USA,2013,4564768050335,193892072881,4565,193892
USA,2014,4738292500339,188631918341,4738,188632
USA,2015,4528931562154,213217068087,4529,213217
China,2004,1615008655463,1843203765499,1615,1843204
China,2005,1991766826973,1781489901391,1992,1781490
China,2006,2470217990013,1771806690777,2470,1771807
China,2007,3053142117158,1992897808988,3053,1992898
China,2008,3655984153736,2009649271003,3656,2009649
China,2009,3151739019226,2346791572603,3152,2346792
China,2010,4295831622842,2532656548075,4296,2532657
China,2011,5365289750950,2885326597688,5365,2885327
China,2012,5733060765268,2153297684541,5733,2153298
China,2013,6164948591866,3096319353159,6165,3096319
China,2014,6378392617952,3330103994575,6378,3330104
China,2015,5764814187397,3373341208248,5765,3373341
EU-28,2004,3688878032267,1813880747117,3689,1813881
EU-28,2005,4260131329882,1881963063035,4260,1881963
EU-28,2006,4932786108740,1918738847945,4933,1918739
EU-28,2007,5634748073693,1935524116320,5635,1935524
EU-28,2008,6329492476719,1875127213313,6329,1875127
EU-28,2009,5098307101675,1689686506329,5098,1689687
EU-28,2010,5746809084292,1782326591863,5747,1782327
EU-28,2011,7161196100465,1817346279480,7161,1817346
EU-28,2012,7085094227127,1836739730657,7085,1836740
EU-28,2013,6979514798367,1824725048925,6980,1824725
EU-28,2014,7032377930257,1847382652123,7032,1847383
EU-28,2015,5974659791592,1892637755704,5975,1892638
