"rank","category_title","channel_title","Metric","ViewsCount","LikesCount","CommentsCount"
"1","Autos & Vehicles","Doug DeMuro",79,54500710,1343538,420756
"2","Autos & Vehicles","Mighty Car Mods",26,12175272,463623,53031
"3","Autos & Vehicles","Adam LZ",19,4148579,182781,19102
"4","Autos & Vehicles","Tavarish",18,5361794,244920,43753
"5","Autos & Vehicles","Donut Media",15,4676118,260211,33373
"6","Autos & Vehicles","SnowTrax Television",13,130762,2178,576
"7","Autos & Vehicles","TheHoonigans",11,3039690,114013,14321
"8","Comedy","Comment Awards",135,58321928,1677821,435564
"9","Comedy","Team Edge",100,97780987,2271341,522541
"10","Comedy","Smosh",72,78874279,3081416,268213
"11","Comedy","Jimmy Kimmel Live",50,95134330,1751405,308662
"12","Comedy","jacksfilms",42,47880761,3694383,940538
"13","Comedy","Domics",38,59248821,3871698,438414
"14","Comedy","Lele Pons",32,89709292,4878100,330378
"15","Comedy","SQUEEZIE",31,99242421,9785737,692422
"16","Comedy","PewDiePie",30,125542554,8971779,1026384
"17","Comedy","CYR!L",28,18210583,2013515,303381
"18","Comedy","Matthias",23,33818719,1071122,298281
"19","Education","SciShow",76,13695123,538023,79595
"20","Education","The King of Random",70,44796339,1000618,237332
"21","Education","Poisson Fécond",29,11087033,791458,70029
"22","Education","#Mind Warehouse",26,29554422,410442,299387
"23","Education","Kurzgesagt",26,64230315,3986519,395429
"24","Education","7-Second Riddles",23,20436477,109577,55460
"25","Education","TheInfographics",23,13252333,312785,95018
"26","Education","StrangerThanFiction",20,7344160,145195,54734
"27","Education","Life Noggin",18,7116756,299029,61630
"28","Education","Tyler, The Creator",14,22657977,1818345,109919
"29","Education","Doctor Mike",12,11607956,740643,100839
"30","Entertainment","FBE",142,140216135,4561626,1060840
"31","Entertainment","Breakfast Club 105.1 FM",116,93530936,1629378,1077570
"32","Entertainment","Philip DeFranco",67,94134991,4582763,847182
"33","Entertainment","TMZ",50,97617128,1735783,675214
"34","Entertainment","h3h3Productions",46,126295175,9755180,1047179
"35","Entertainment","PewDiePie",34,132409130,9674947,1291789
"36","Entertainment","MrBeast",32,107134548,3993259,684390
"37","Entertainment","nigahiga",31,117177525,8486872,733418
"38","Entertainment","KSI",30,151894130,8334827,787697
"39","Entertainment","Marvel Entertainment",27,428523417,13733911,1547831
"40","Entertainment","Sony Pictures",23,424538054,10213323,1155901
"41","Film & Animation","CinemaSins",100,104606016,3039510,439935
"42","Film & Animation","The Film Theorists",68,170954425,5904955,1046869
"43","Film & Animation","Screen Junkies",60,96189517,2863869,384363
"44","Film & Animation","Unbox Therapy",37,55111556,2462044,347327
"45","Film & Animation","20th Century Fox",31,334617809,7111440,411525
"46","Film & Animation","Lucas the Spider",25,86644083,5207528,392865
"47","Film & Animation","Jaiden Animations",18,41420540,3684476,960233
"48","Film & Animation","Disney•Pixar",15,196384878,3969072,418014
"49","Film & Animation","Paramount Pictures",15,150130512,2096289,259922
