"rank","category_title","channel_title","Metric","ViewsCount","LikesCount","CommentsCount"
"1","Autos & Vehicles","Ram Trucks",14,32058381,76995,38441
"2","Autos & Vehicles","HvdH-Plane-Spotter",13,61252941,335897,30286
"3","Autos & Vehicles","Car Throttle",11,3029632,96408,61026
"4","Comedy","TNS Jimmy Fallon",151,210908831,4884529,292679
"5","Comedy","LN with Seth Meyers",140,240804302,3370772,379235
"6","Comedy","Jimmy Kimmel Live",75,208706353,4422267,501885
"7","Comedy","Rudy Mancuso",63,299364795,13572627,1134157
"8","Comedy","PewDiePie",55,248253063,14817145,1531393
"9","Comedy","Bad Lip Reading",33,270911875,6394200,322880
"10","Comedy","Ash Hardell",27,57722353,1765137,175866
"11","Comedy","IISuperwomanII",24,40708719,2978083,230903
"12","Comedy","TheOdd1sOut",23,193875331,9077742,1905001
"13","Comedy","I Hate Everything",18,14814972,702153,237037
"14","Comedy","shane",13,76819667,7635917,2603179
"15","Education","Tyler, The Creator",56,275100248,12271790,680895
"16","Education","EC Henry",30,14766703,317506,146979
"17","Education","Life Noggin",22,10196506,334158,37899
"18","Education","ThuleanPerspective",19,774769,47776,16221
"19","Education","hbomberguy",18,4517937,335955,125824
"20","Education","Jordan B Peterson",16,7395353,315647,113968
"21","Education","Today I Found Out",16,7621372,258721,30280
"22","Education","Quicken Loans",14,11621432,56045,1950
"23","Education","Wisecrack",13,5305262,155730,51530
"24","Education","austinmcconnell",12,4293177,198096,23193
"25","Entertainment","Breakfast Club 105.1 FM",155,202151834,2421323,2041515
"26","Entertainment","Star Wars",125,370433672,7099477,1246564
"27","Entertainment","Marvel Entertainment",124,2722121948,62506198,6453687
"28","Entertainment","Sony Pictures",105,1281262202,23218416,2936482
"29","Entertainment","Cobra Kai",86,954855771,13825465,1440412
"30","Entertainment","Cole Bennett",74,789170348,19415167,1568290
"31","Entertainment","Eurovision Song Contest",70,692096637,10795347,1798964
"32","Entertainment","PewDiePie",49,406038926,27983255,5133372
"33","Entertainment","Logan Paul Vlogs",44,706250018,30024272,22138030
"34","Entertainment","HowToBasic",30,476977141,35981844,6427896
"35","Entertainment","Queen Naija",22,444897414,18123651,2878567
"36","Film & Animation","20th Century Fox",111,1354329992,28240636,1616564
"37","Film & Animation","HBO",108,473198049,2985152,368869
"38","Film & Animation","Screen Junkies",94,240106940,5896148,889464
"39","Film & Animation","Disney•Pixar",73,2096477100,27577622,2779500
"40","Film & Animation","Lucas the Spider",55,386551237,17774318,1200978
"41","Film & Animation","Disney Movie Trailers",49,319119016,6857721,838698
"42","Film & Animation","Paramount Pictures",45,491733561,5173082,635625
"43","Film & Animation","Butch Hartman",35,174129776,6410208,1175260
"44","Film & Animation","Lionsgate Movies",34,296519219,1114783,328482
"45","Film & Animation","Rooster Teeth",34,41837818,1508163,582614
"46","Film & Animation","Legendary",28,205982570,2103626,359865
"47","Gaming","MauLer",62,9875981,550808,183406
"48","Gaming","Nintendo",62,47690695,1291983,334442
"49","Gaming","videogamedunkey",58,185508606,9109922,604733
"50","Gaming","PlayOverwatch",35,64956169,2062691,524426
"51","Gaming","elrubiusOMG",30,430838126,30145207,646822
"52","Gaming","Ubisoft US",25,45626161,1354149,229790
"53","Gaming","Call of Duty",23,20238888,1050330,159908
"54","Gaming","Polygon",22,56211759,2423797,82584
"55","Gaming","EA SPORTS FIFA",15,29974312,1054648,91752
"56","Gaming","Sonic the Hedgehog",14,7463822,287338,107874
"57","Gaming","GalacticFusion",13,146467544,3332311,155734
"58","Howto & Style","Patricia Bright",54,47104090,2365522,229385
"59","Howto & Style","Fleur DeForce",48,15418180,803835,121479
"60","Howto & Style","AdelaineMorin",36,44726104,1860306,125645
"61","Howto & Style","AmazingPhil",33,27085926,3878247,298871
"62","Howto & Style","Hobbie Stuart",33,137350766,4397782,578259
"63","Howto & Style","Sprinkleofglitter",32,14012562,640289,73145
"64","Howto & Style","First We Feast",30,82311891,2812533,356014
