"rank","category_title","channel_title","Metric","ViewsCount","LikesCount","CommentsCount"
"1","Autos & Vehicles","Doug DeMuro",41,44229839,903272,291579
"2","Autos & Vehicles","Engineering Explained",19,6974892,173192,40894
"3","Autos & Vehicles","WHAT'S INSIDE? FAMILY",13,1544788,30074,5492
"4","Autos & Vehicles","LexusVehicles",12,9653435,14901,2133
"5","Autos & Vehicles","HyundaiUSA",11,83086102,7484,1472
"6","Autos & Vehicles","Jimmy Built",11,3939399,17699,2145
"7","Comedy","jacksfilms",107,148134177,10457270,2956701
"8","Comedy","Smosh",99,153109641,5079928,442551
"9","Comedy","Domics",88,217423286,12304184,1270373
"10","Comedy","Hannah Stocking",74,392235719,12820168,1005636
"11","Comedy","Bad Lip Reading",67,410637562,12171354,591922
"12","Comedy","IISuperwomanII",61,79920108,6273153,458056
"13","Comedy","Matthias",46,126366208,3310054,809598
"14","Comedy","JennaMarbles",45,131100939,11880048,1718875
"15","Comedy","Liza Koshy",30,124046352,10264691,512834
"16","Comedy","Rudy Mancuso",29,104957417,5405910,434198
"17","Comedy","TheOdd2sOut",27,29120441,2505062,714106
"18","Education","TED-Ed",140,66257617,2292475,166680
"19","Education","The King of Random",116,101164321,1759369,407260
"20","Education","SciShow",115,32549756,1062817,135919
"21","Education","Tom Scott",115,105162664,3726357,421251
"22","Education","Life Noggin",114,65033955,2188946,472072
"23","Education","Kurzgesagt",88,291127561,16355872,1441227
"24","Education","Half as Interesting",60,22467435,729285,94913
"25","Education","Tyler, The Creator",22,40485608,2677372,138143
"26","Education","jacksepticeye",21,29139107,1104932,190272
"27","Education","CGP Grey",18,21650296,1930230,306177
"28","Education","Vsauce2",17,25988293,902965,87923
"29","Entertainment","FBE",112,233930689,6517512,1350326
"30","Entertainment","Marvel Entertainment",105,1135398584,34217998,3523347
"31","Entertainment","James Charles",87,270056136,16512334,2283370
"32","Entertainment","nigahiga",70,534212037,25942718,1777014
"33","Entertainment","Sony Pictures",65,1363075505,29065440,3360365
"34","Entertainment","Lucas and Marcus",43,322069343,7302350,1042094
"35","Entertainment","FoxStarHindi",32,1238609854,23762509,1782776
"36","Entertainment","DanTDM",31,48521399,1793721,1199797
"37","Entertainment","Dragonfoxgirl",24,152765640,7440441,999019
"38","Entertainment","PewDiePie",22,139000629,10373051,1111653
"39","Entertainment","Queen Naija",12,144459826,8867245,1512828
"40","Film & Animation","Screen Junkies",136,249834967,7064599,924799
"41","Film & Animation","20th Century Fox",94,940316898,21279934,1279201
"42","Film & Animation","The Film Theorists",86,342897517,9490381,1726741
"43","Film & Animation","Lucas the Spider",72,414149390,19296471,1316230
"44","Film & Animation","CinemaSins",58,134361923,2861100,408883
"45","Film & Animation","Jaiden Animations",51,158278108,11139918,2399737
"46","Film & Animation","Paramount",45,560512397,6801138,760696
"47","Film & Animation","Disney Movie Trailers",39,196163334,4663104,558916
"48","Film & Animation","Disney•Pixar",30,611745436,9958417,982691
"49","Film & Animation","Selena Gomez",28,818792483,20165850,1002366
"50","Film & Animation","Walt Disney Studios",25,351946816,5852693,1078949
"51","Gaming","Nintendo",72,159440352,4492397,1264651
"52","Gaming","FaZe Rug",56,129237089,6665996,1207596
"53","Gaming","The Game Theorists",43,178877440,5889789,2106574
"54","Gaming","videogamedunkey",42,129773202,6949709,475428
"55","Gaming","Call of Duty",41,315404711,11553594,4224430
"56","Gaming","Clash Royale",40,465597843,8495526,681138
"57","Gaming","Markiplier",38,38686742,2680147,587757
"58","Gaming","Fortnite",30,96760845,2796181,534489
"59","Gaming","PlayOverwatch",23,27647704,892377,190326
"60","Gaming","The Sims",20,29687134,1470791,342720
"61","Gaming","Official Pokémon",15,129493150,3282160,859613
"62","Howto & Style","First We Feast",104,115233798,4096877,578655
"63","Howto & Style","Laura Lee",94,69868146,3257368,2100209
"64","Howto & Style","NikkieTutorials",93,207367310,12561718,1037710
"65","Howto & Style","LaurDIY",81,131546255,5773662,671910
"66","Howto & Style","Rosanna Pansino",72,81819144,3229242,546154
"67","Howto & Style","Gabbie Hanna",49,160736013,7395212,608524
"68","Howto & Style","JunsKitchen",43,85757104,5714874,443871
"69","Howto & Style","Jaclyn Hill",40,75557919,3272129,415333
"70","Howto & Style","jeffreestar",38,83243512,4798227,3009734
"71","Howto & Style","grav3yardgirl",31,107338433,9079602,1545881
"72","Howto & Style","HowToBasic",13,65326027,3617035,729364
"73","Music","ibighit",67,2011897203,176106093,27817126
"74","Music","ShawnMendesVEVO",50,430229258,24366265,1396548
"75","Music","SMTOWN",49,223512441,19657146,2132858
"76","Music","ArianaGrandeVevo",43,1576959172,52170970,4295333
"77","Music","TaylorSwiftVEVO",42,994304137,38135537,3288923
"78","Music","jypentertainment",40,1214494793,34881350,6398693
"79","Music","NickiMinajAtVEVO",40,478247584,14921311,1685462
"80","Music","ZaynVEVO",39,838561451,31695245,2144996
"81","Music","BANGTANTV",26,187720499,22783055,1431748
"82","Music","ChildishGambinoVEVO",25,3758488765,96700818,10151289
"83","Music","Cardi B",16,896558471,23078293,1370188
