Country Or Area	Year	Trade Usd	Weight Kg
United Kingdom	2004	951484451626	45873081534
United Kingdom	2005	1025281737953	47418361934
United Kingdom	2006	1194452253434	46554065467
United Kingdom	2007	1277211412997	48389100127
United Kingdom	2008	1346918729201	47542306770
United Kingdom	2009	1112694276200	39627601367
United Kingdom	2010	1207707123372	43022558908
United Kingdom	2011	1433692365591	40874500900
United Kingdom	2012	1367064971258	38581257878
United Kingdom	2013	1340458796526	45295902714
United Kingdom	2014	1351061632505	45829513112
United Kingdom	2015	1217648409639	45790523053
Canada	2004	1035711122422	498624459491
Canada	2005	1183289098477	601174387875
Canada	2006	1293067903085	586414249370
Canada	2007	1406236070925	549050436352
Canada	2008	1521826201541	689741067634
Canada	2009	1117100450489	500105043217
Canada	2010	1371069273447	622265410808
Canada	2011	1593012736819	650031276432
Canada	2012	1572692177486	451468305286
Canada	2013	1582047468027	502651052797
Canada	2014	1667613724676	596810910808
Canada	2015	1472419676044	527283515108
Belgium	2004	1104727573695	469104916827
Belgium	2005	1222885038684	507973853649
Belgium	2006	1348195609665	544687866183
Belgium	2007	1579847976278	535999583253
Belgium	2008	1756007030604	587672976056
Belgium	2009	1361049710434	428405172593
Belgium	2010	1502595529446	475677162245
Belgium	2011	1772458774707	517169314224
Belgium	2012	1667935970635	485180953160
Belgium	2013	1891446967703	545392779546
Belgium	2014	1748187690589	491126972696
Belgium	2015	1450039919841	475268628566
China, Hong Kong SAR	2004	1041263757918	166603020723
China, Hong Kong SAR	2005	1125802179896	87386751302
China, Hong Kong SAR	2006	1240483078778	85575878480
China, Hong Kong SAR	2007	1357463287479	111617201228
China, Hong Kong SAR	2008	1452477753320	730129083669
China, Hong Kong SAR	2009	1286500106072	143941747175
China, Hong Kong SAR	2010	1572930474407	760178643445
China, Hong Kong SAR	2011	1853112811841	82903277583
China, Hong Kong SAR	2012	2023259907616	65550370389
China, Hong Kong SAR	2013	2284106194416	704070535740
China, Hong Kong SAR	2014	2159097617962	181150735291
China, Hong Kong SAR	2015	2033287794834	847535476859
France	2004	1197155995731	376868064454
France	2005	1298149066435	404486985498
France	2006	1451054495788	420240625864
France	2007	1654522649405	420793653390
France	2008	1888636905434	450379821858
France	2009	1483135189073	341838958161
France	2010	1647252003452	357635050911
France	2011	1941546930513	386964220822
France	2012	1852381536953	359519977227
France	2013	1886161439529	360331054486
France	2014	1848817261051	347924791233
France	2015	1580470085128	350251602647
Japan	2004	1287236261010	745439011273
Japan	2005	1427314190029	751808858375
Japan	2006	1596141003646	753972169669
Japan	2007	1748992914140	770973513633
Japan	2008	2091708745806	778405788176
Japan	2009	1517985408130	656942216969
Japan	2010	1949095164327	729473007575
Japan	2011	2280011589807	736368759601
Japan	2012	2297717896661	745361672767
Japan	2013	2118516770326	756409861755
Japan	2014	2044511576698	743847187386
Japan	2015	1636252115718	633528497861
Germany	2004	2206844465000	533818613507
Germany	2005	2345314288000	552351197295
Germany	2006	2762213913000	568034733820
Germany	2007	3269576075000	545755931373
Germany	2008	3707614472000	552775162188
Germany	2009	2906743905000	504661523714
Germany	2010	3257178205207	543084541413
Germany	2011	3782541364649	562555032770
Germany	2012	3554092083789	546446566770
Germany	2013	3649346124734	567977011421
Germany	2014	3729934619559	584414062286
Germany	2015	3261980771342	618923210947
USA	2004	2669207269882	191431618301
USA	2005	2995673193561	196064792577
USA	2006	3363363668732	203412260056
USA	2007	3639915795151	215777708316
USA	2008	3953130113653	220906962456
USA	2009	3096397500695	177800863461
USA	2010	3752235228486	205793392044
USA	2011	4317009005988	211994869732
USA	2012	4496013014361	190388297912
USA	2013	4564768050335	193892072881
USA	2014	4738292500339	188631918341
USA	2015	4528931562154	213217068087
China	2004	1615008655463	1843203765499
China	2005	1991766826973	1781489901391
China	2006	2470217990013	1771806690777
China	2007	3053142117158	1992897808988
China	2008	3655984153736	2009649271003
China	2009	3151739019226	2346791572603
China	2010	4295831622842	2532656548075
China	2011	5365289750950	2885326597688
China	2012	5733060765268	2153297684541
China	2013	6164948591866	3096319353159
China	2014	6378392617952	3330103994575
China	2015	5764814187397	3373341208248
EU-28	2004	3688878032267	1813880747117
EU-28	2005	4260131329882	1881963063035
EU-28	2006	4932786108740	1918738847945
EU-28	2007	5634748073693	1935524116320
EU-28	2008	6329492476719	1875127213313
EU-28	2009	5098307101675	1689686506329
EU-28	2010	5746809084292	1782326591863
EU-28	2011	7161196100465	1817346279480
EU-28	2012	7085094227127	1836739730657
EU-28	2013	6979514798367	1824725048925
EU-28	2014	7032377930257	1847382652123
EU-28	2015	5974659791592	1892637755704
