country,year,tradeusd,weightkg,tradeinbillions,weightinmegatonnes
United Kingdom,2004,951484451626,45873081534,951,45873
United Kingdom,2005,1025281737953,47418361934,1025,47418
United Kingdom,2006,1194452253434,46554065467,1194,46554
United Kingdom,2007,1277211412997,48389100127,1277,48389
United Kingdom,2008,1346918729201,47542306770,1347,47542
United Kingdom,2009,1112694276200,39627601367,1113,39628
United Kingdom,2010,1207707123372,43022558908,1208,43023
United Kingdom,2011,1433692365591,40874500900,1434,40875
United Kingdom,2012,1367064971258,38581257878,1367,38581
United Kingdom,2013,1340458796526,45295902714,1340,45296
United Kingdom,2014,1351061632505,45829513112,1351,45830
United Kingdom,2015,1217648409639,45790523053,1218,45791
